"date","new_cases","PCR","TestAc","activos","hospitalized","hospitalized_new","hospitalized_accumulated","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","cases_14days","cases_7days","cases_PCR_14days","cases_PCR_7days","daily_cases","daily_cases_avg7","daily_cases_PCR","daily_cases_PCR_avg7","daily_deaths","daily_deaths_inc","daily_deaths_avg3","daily_deaths_avg7","deaths_last_week"
2020-12-08,1159,788,82241,13239,9479,8445,81626,1659,59440,1773132,1127082,5842,104345,46567,50683,21767,3257,6652.4,1553,3109.6,158,0.3,208.3,226,1582
2020-12-09,2970,2118,82456,12399,9369,8520,81814,1952,59695,1781312,1131951,5976,103243,44724,50647,21924,8180,6389.1,4869,3132,255,0.4,244.3,224,1568
2020-12-10,3875,1976,82645,13052,9174,8546,82002,1894,59973,1790363,1136902,6054,100501,44981,50556,22800,9051,6425.9,4951,3257.1,278,0.5,230.3,222.7,1559
2020-12-11,3913,2131,82867,8326,8852,8606,82222,1878,60190,1800337,1142555,6103,100385,46868,51183,24596,9974,6695.4,5653,3513.7,217,0.4,250,221.3,1549
2020-12-12,1921,1171,82902,8637,8712,8528,82329,1546,60319,1805823,1145100,6129,98072,47342,50372,25096,5486,6763.1,2545,3585.1,129,0.2,208,214.9,1504
2020-12-13,1160,959,82934,13859,8966,8549,82438,1544,60412,1810118,1146831,6194,97440,48252,49894,25397,4295,6893.1,1731,3628.1,93,0.2,146.3,207.1,1450
2020-12-14,3558,2928,83133,13677,9113,8650,82640,1829,60751,1820516,1152943,6237,101807,50641,52253,27414,10398,7234.4,6112,3916.3,339,0.6,187,209.9,1469
2020-12-15,4982,2452,83827,13617,8938,8681,82852,1790,61043,1831352,1105812,6286,104787,58220,497,-21270,10836,8317.1,-47131,-3038.6,292,0.5,241.3,229,1603
2020-12-16,4084,2623,83468,13679,8854,8664,83034,1740,61260,1842082,1111671,6327,105494,60770,1644,-20280,10730,8681.4,5859,-2897.1,217,0.4,282.7,223.6,1565
2020-12-17,3996,2762,83643,13756,8707,8710,83239,1716,61436,1852563,1117169,6339,107181,62200,3067,-19733,10481,8885.7,5498,-2819,176,0.3,228.3,209,1463
2020-12-18,4032,2501,83780,8159,8493,8757,83459,1694,61662,1863187,1122669,6365,109718,62850,4710,-19886,10624,8978.6,5500,-2840.9,226,0.4,206.3,210.3,1472
2020-12-19,3573,1403,83791,8327,8469,8705,83600,1407,61817,1870635,1125163,6366,112154,64812,5159,-19937,7448,9258.9,2494,-2848.1,155,0.3,185.7,214,1498
2020-12-20,1028,1006,83799,14712,8687,8737,83749,1424,61961,1875013,1127001,6371,113147,64895,5567,-19830,4378,9270.7,1838,-2832.9,144,0.2,175,221.3,1549
