,ccaa,fallecidos,fecha
248,Aragón,736,29/4/2020
249,Asturias,266,29/4/2020
250,Baleares,185,29/4/2020
251,Canarias,134,29/4/2020
252,Cantabria,191,29/4/2020
253,Castilla La Mancha,2436,29/4/2020
254,Castilla y León,1736,29/4/2020
255,Cataluña,4905,29/4/2020
256,Ceuta,4,29/4/2020
257,C. Valenciana,1218,29/4/2020
258,Extremadura,440,29/4/2020
259,Galicia,547,29/4/2020
260,Madrid,8105,29/4/2020
261,Melilla,2,29/4/2020
262,Murcia,130,29/4/2020
263,Navarra,448,29/4/2020
264,País Vasco,1274,29/4/2020
265,La Rioja,330,29/4/2020
266,Andalucía,1207,30/4/2020
267,Aragón,739,30/4/2020
268,Asturias,273,30/4/2020
269,Baleares,188,30/4/2020
270,Canarias,135,30/4/2020
271,Cantabria,191,30/4/2020
272,Castilla La Mancha,2463,30/4/2020
273,Castilla y León,1752,30/4/2020
274,Cataluña,4975,30/4/2020
275,Ceuta,4,30/4/2020
276,C. Valenciana,1236,30/4/2020
277,Extremadura,446,30/4/2020
278,Galicia,547,30/4/2020
279,Madrid,8176,30/4/2020
280,Melilla,2,30/4/2020
281,Murcia,130,30/4/2020
282,Navarra,451,30/4/2020
283,País Vasco,1296,30/4/2020
284,La Rioja,332,30/4/2020
285,Andalucía,1238,1/5/2020
286,Aragón,749,1/5/2020
287,Asturias,273,1/5/2020
288,Baleares,193,1/5/2020
289,Canarias,136,1/5/2020
290,Cantabria,192,1/5/2020
291,Castilla La Mancha,2498,1/5/2020
292,Castilla y León,1770,1/5/2020
293,Cataluña,5061,1/5/2020
294,Ceuta,4,1/5/2020
295,C. Valenciana,1245,1/5/2020
296,Extremadura,451,1/5/2020
297,Galicia,555,1/5/2020
298,Madrid,8222,1/5/2020
299,Melilla,2,1/5/2020
300,Murcia,132,1/5/2020
301,Navarra,458,1/5/2020
302,País Vasco,1312,1/5/2020
303,La Rioja,333,1/5/2020
304,Andalucía,1253,2/5/2020
305,Aragón,761,2/5/2020
306,Asturias,279,2/5/2020
307,Baleares,197,2/5/2020
308,Canarias,140,2/5/2020
309,Cantabria,193,2/5/2020
310,Castilla La Mancha,2534,2/5/2020
311,Castilla y León,1788,2/5/2020
312,Cataluña,5137,2/5/2020
313,Ceuta,4,2/5/2020
314,C. Valenciana,1258,2/5/2020
315,Extremadura,458,2/5/2020
316,Galicia,557,2/5/2020
317,Madrid,8292,2/5/2020
318,Melilla,2,2/5/2020
319,Murcia,132,2/5/2020
320,Navarra,460,2/5/2020
321,País Vasco,1321,2/5/2020
322,La Rioja,334,2/5/2020
323,Andalucía,1256,3/5/2020
324,Aragón,761,3/5/2020
325,Asturias,280,3/5/2020
326,Baleares,197,3/5/2020
327,Canarias,140,3/5/2020
328,Cantabria,195,3/5/2020
329,Castilla La Mancha,2565,3/5/2020
330,Castilla y León,1800,3/5/2020
331,Cataluña,5185,3/5/2020
332,Ceuta,4,3/5/2020
333,C. Valenciana,1264,3/5/2020
334,Extremadura,460,3/5/2020
335,Galicia,563,3/5/2020
336,Madrid,8332,3/5/2020
337,Melilla,2,3/5/2020
338,Murcia,134,3/5/2020
339,Navarra,462,3/5/2020
340,País Vasco,1329,3/5/2020
341,La Rioja,335,3/5/2020
342,Andalucía,1263,4/5/2020
343,Aragón,762,4/5/2020
344,Asturias,284,4/5/2020
345,Baleares,197,4/5/2020
346,Canarias,141,4/5/2020
347,Cantabria,197,4/5/2020
348,Castilla La Mancha,2590,4/5/2020
349,Castilla y León,1818,4/5/2020
350,Cataluña,5220,4/5/2020
351,Ceuta,4,4/5/2020
352,C. Valenciana,1269,4/5/2020
353,Extremadura,460,4/5/2020
354,Galicia,569,4/5/2020
355,Madrid,8376,4/5/2020
356,Melilla,2,4/5/2020
357,Murcia,134,4/5/2020
358,Navarra,466,4/5/2020
359,País Vasco,1341,4/5/2020
360,La Rioja,335,4/5/2020
361,Andalucía,1267,5/5/2020
362,Aragón,770,5/5/2020
363,Asturias,284,5/5/2020
364,Baleares,198,5/5/2020
365,Canarias,142,5/5/2020
366,Cantabria,198,5/5/2020
367,Castilla La Mancha,2616,5/5/2020
368,Castilla y León,1832,5/5/2020
369,Cataluña,5270,5/5/2020
370,Ceuta,4,5/5/2020
371,C. Valenciana,1279,5/5/2020
372,Extremadura,462,5/5/2020
373,Galicia,573,5/5/2020
374,Madrid,8420,5/5/2020
375,Melilla,2,5/5/2020
376,Murcia,136,5/5/2020
377,Navarra,471,5/5/2020
378,País Vasco,1353,5/5/2020
379,La Rioja,336,5/5/2020
380,Andalucía,1281,6/5/2020
381,Aragón,788,6/5/2020
382,Asturias,287,6/5/2020
383,Baleares,199,6/5/2020
384,Canarias,143,6/5/2020
385,Cantabria,199,6/5/2020
386,Castilla La Mancha,2647,6/5/2020
387,Castilla y León,1847,6/5/2020
388,Cataluña,5345,6/5/2020
389,Ceuta,4,6/5/2020
390,C. Valenciana,1291,6/5/2020
391,Extremadura,463,6/5/2020
392,Galicia,582,6/5/2020
393,Madrid,8466,6/5/2020
394,Melilla,2,6/5/2020
395,Murcia,136,6/5/2020
396,Navarra,476,6/5/2020
397,País Vasco,1364,6/5/2020
398,La Rioja,337,6/5/2020
399,Andalucía,1294,7/5/2020
400,Aragón,800,7/5/2020
401,Asturias,292,7/5/2020
402,Baleares,201,7/5/2020
403,Canarias,144,7/5/2020
404,Cantabria,200,7/5/2020
405,Castilla La Mancha,2677,7/5/2020
406,Castilla y León,1864,7/5/2020
407,Cataluña,5394,7/5/2020
408,Ceuta,4,7/5/2020
409,C. Valenciana,1303,7/5/2020
410,Extremadura,467,7/5/2020
411,Galicia,586,7/5/2020
412,Madrid,8504,7/5/2020
413,Melilla,2,7/5/2020
414,Murcia,137,7/5/2020
415,Navarra,480,7/5/2020
416,País Vasco,1383,7/5/2020
417,La Rioja,338,7/5/2020
418,Andalucía,1301,8/5/2020
419,Aragón,815,8/5/2020
420,Asturias,292,8/5/2020
421,Baleares,202,8/5/2020
422,Canarias,148,8/5/2020
423,Cantabria,201,8/5/2020
424,Castilla La Mancha,2713,8/5/2020
425,Castilla y León,1876,8/5/2020
426,Cataluña,5471,8/5/2020
427,Ceuta,4,8/5/2020
428,C. Valenciana,1309,8/5/2020
