,ccaa,fallecidos,fecha
1566,Cataluña,5675,10/7/2020
1567,Ceuta,4,10/7/2020
1568,C. Valenciana,1432,10/7/2020
1569,Extremadura,519,10/7/2020
1570,Galicia,619,10/7/2020
1571,Madrid,8441,10/7/2020
1572,Melilla,2,10/7/2020
1573,Murcia,148,10/7/2020
1574,Navarra,528,10/7/2020
1575,País Vasco,1562,10/7/2020
1576,La Rioja,366,10/7/2020
1577,Andalucía,1435,13/7/2020
1578,Aragón,915,13/7/2020
1579,Asturias,334,13/7/2020
1580,Baleares,224,13/7/2020
1581,Canarias,162,13/7/2020
1582,Cantabria,216,13/7/2020
1583,Castilla La Mancha,3030,13/7/2020
1584,Castilla y León,2792,13/7/2020
1585,Cataluña,5676,13/7/2020
1586,Ceuta,4,13/7/2020
1587,C. Valenciana,1432,13/7/2020
1588,Extremadura,519,13/7/2020
1589,Galicia,619,13/7/2020
1590,Madrid,8442,13/7/2020
1591,Melilla,2,13/7/2020
1592,Murcia,148,13/7/2020
1593,Navarra,528,13/7/2020
1594,País Vasco,1562,13/7/2020
1595,La Rioja,366,13/7/2020
1596,Andalucía,1435,14/7/2020
1597,Aragón,915,14/7/2020
1598,Asturias,334,14/7/2020
1599,Baleares,224,14/7/2020
1600,Canarias,162,14/7/2020
1601,Cantabria,216,14/7/2020
1602,Castilla La Mancha,3030,14/7/2020
1603,Castilla y León,2793,14/7/2020
1604,Cataluña,5677,14/7/2020
1605,Ceuta,4,14/7/2020
1606,C. Valenciana,1432,14/7/2020
1607,Extremadura,519,14/7/2020
1608,Galicia,619,14/7/2020
1609,Madrid,8442,14/7/2020
1610,Melilla,2,14/7/2020
1611,Murcia,148,14/7/2020
1612,Navarra,528,14/7/2020
1613,País Vasco,1563,14/7/2020
1614,La Rioja,366,14/7/2020
1615,Andalucía,1435,15/7/2020
1616,Aragón,915,15/7/2020
1617,Asturias,334,15/7/2020
1618,Baleares,224,15/7/2020
1619,Canarias,162,15/7/2020
1620,Cantabria,216,15/7/2020
1621,Castilla La Mancha,3031,15/7/2020
1622,Castilla y León,2793,15/7/2020
1623,Cataluña,5678,15/7/2020
1624,Ceuta,4,15/7/2020
1625,C. Valenciana,1432,15/7/2020
1626,Extremadura,519,15/7/2020
1627,Galicia,619,15/7/2020
1628,Madrid,8444,15/7/2020
1629,Melilla,2,15/7/2020
1630,Murcia,148,15/7/2020
1631,Navarra,528,15/7/2020
1632,País Vasco,1563,15/7/2020
1633,La Rioja,366,15/7/2020
1634,Andalucía,1435,16/7/2020
1635,Aragón,915,16/7/2020
1636,Asturias,334,16/7/2020
1637,Baleares,224,16/7/2020
1638,Canarias,162,16/7/2020
1639,Cantabria,216,16/7/2020
1640,Castilla La Mancha,3032,16/7/2020
1641,Castilla y León,2793,16/7/2020
1642,Cataluña,5678,16/7/2020
1643,Ceuta,4,16/7/2020
1644,C. Valenciana,1432,16/7/2020
1645,Extremadura,519,16/7/2020
1646,Galicia,619,16/7/2020
1647,Madrid,8445,16/7/2020
1648,Melilla,2,16/7/2020
1649,Murcia,148,16/7/2020
1650,Navarra,529,16/7/2020
1651,País Vasco,1563,16/7/2020
1652,La Rioja,366,16/7/2020
1653,Andalucía,1435,17/7/2020
1654,Aragón,915,17/7/2020
1655,Asturias,334,17/7/2020
1656,Baleares,224,17/7/2020
1657,Canarias,162,17/7/2020
1658,Cantabria,217,17/7/2020
1659,Castilla La Mancha,3034,17/7/2020
1660,Castilla y León,2793,17/7/2020
1661,Cataluña,5678,17/7/2020
1662,Ceuta,4,17/7/2020
1663,C. Valenciana,1432,17/7/2020
1664,Extremadura,519,17/7/2020
1665,Galicia,619,17/7/2020
1666,Madrid,8446,17/7/2020
1667,Melilla,2,17/7/2020
1668,Murcia,148,17/7/2020
1669,Navarra,529,17/7/2020
1670,País Vasco,1563,17/7/2020
1671,La Rioja,366,17/7/2020
1672,Andalucía,1435,20/7/2020
1673,Aragón,915,20/7/2020
1674,Asturias,334,20/7/2020
1675,Baleares,224,20/7/2020
1676,Canarias,162,20/7/2020
1677,Cantabria,217,20/7/2020
1678,Castilla La Mancha,3033,20/7/2020
1679,Castilla y León,2794,20/7/2020
1680,Cataluña,5678,20/7/2020
1681,Ceuta,4,20/7/2020
1682,C. Valenciana,1433,20/7/2020
1683,Extremadura,519,20/7/2020
1684,Galicia,619,20/7/2020
1685,Madrid,8447,20/7/2020
1686,Melilla,2,20/7/2020
1687,Murcia,148,20/7/2020
1688,Navarra,529,20/7/2020
1689,País Vasco,1563,20/7/2020
1690,La Rioja,366,20/7/2020
1691,Andalucía,1435,21/7/2020
1692,Aragón,915,21/7/2020
1693,Asturias,334,21/7/2020
1694,Baleares,224,21/7/2020
1695,Canarias,162,21/7/2020
1696,Cantabria,217,21/7/2020
1697,Castilla La Mancha,3033,21/7/2020
1698,Castilla y León,2795,21/7/2020
1699,Cataluña,5678,21/7/2020
1700,Ceuta,4,21/7/2020
1701,C. Valenciana,1433,21/7/2020
1702,Extremadura,519,21/7/2020
1703,Galicia,619,21/7/2020
1704,Madrid,8448,21/7/2020
1705,Melilla,2,21/7/2020
1706,Murcia,148,21/7/2020
1707,Navarra,529,21/7/2020
1708,País Vasco,1563,21/7/2020
1709,La Rioja,366,21/7/2020
1710,Andalucía,1435,22/7/2020
1711,Aragón,915,22/7/2020
1712,Asturias,334,22/7/2020
1713,Baleares,224,22/7/2020
1714,Canarias,162,22/7/2020
1715,Cantabria,217,22/7/2020
1716,Castilla La Mancha,3032,22/7/2020
1717,Castilla y León,2795,22/7/2020
1718,Cataluña,5680,22/7/2020
1719,Ceuta,4,22/7/2020
1720,C. Valenciana,1433,22/7/2020
1721,Extremadura,519,22/7/2020
1722,Galicia,619,22/7/2020
1723,Madrid,8449,22/7/2020
1724,Melilla,2,22/7/2020
1725,Murcia,148,22/7/2020
1726,Navarra,529,22/7/2020
1727,País Vasco,1563,22/7/2020
1728,La Rioja,366,22/7/2020
1729,Andalucía,1435,23/7/2020
1730,Aragón,915,23/7/2020
1731,Asturias,334,23/7/2020
1732,Baleares,224,23/7/2020
1733,Canarias,162,23/7/2020
1734,Cantabria,217,23/7/2020
1735,Castilla La Mancha,3033,23/7/2020
1736,Castilla y León,2796,23/7/2020
1737,Cataluña,5680,23/7/2020
1738,Ceuta,4,23/7/2020
1739,C. Valenciana,1433,23/7/2020
1740,Extremadura,519,23/7/2020
1741,Galicia,619,23/7/2020
1742,Madrid,8450,23/7/2020
1743,Melilla,2,23/7/2020
1744,Murcia,148,23/7/2020
1745,Navarra,529,23/7/2020
1746,País Vasco,1563,23/7/2020
1747,La Rioja,366,23/7/2020
1748,Andalucía,1436,24/7/2020
1749,Aragón,915,24/7/2020
1750,Asturias,334,24/7/2020
1751,Baleares,224,24/7/2020
1752,Canarias,162,24/7/2020
1753,Cantabria,217,24/7/2020
1754,Castilla La Mancha,3032,24/7/2020
1755,Castilla y León,2796,24/7/2020
1756,Cataluña,5680,24/7/2020
1757,Ceuta,4,24/7/2020
1758,C. Valenciana,1433,24/7/2020
1759,Extremadura,519,24/7/2020
1760,Galicia,619,24/7/2020
1761,Madrid,8450,24/7/2020
1762,Melilla,2,24/7/2020
1763,Murcia,148,24/7/2020
1764,Navarra,529,24/7/2020
1765,País Vasco,1566,24/7/2020
1766,La Rioja,366,24/7/2020
1767,Andalucía,1436,27/7/2020
1768,Aragón,915,27/7/2020
1769,Asturias,334,27/7/2020
1770,Baleares,224,27/7/2020
1771,Canarias,162,27/7/2020
1772,Cantabria,217,27/7/2020
1773,Castilla La Mancha,3032,27/7/2020
1774,Castilla y León,2797,27/7/2020
1775,Cataluña,5680,27/7/2020
1776,Ceuta,4,27/7/2020
1777,C. Valenciana,1433,27/7/2020
1778,Extremadura,519,27/7/2020
1779,Galicia,619,27/7/2020
1780,Madrid,8451,27/7/2020
1781,Melilla,2,27/7/2020
1782,Murcia,148,27/7/2020
1783,Navarra,529,27/7/2020
1784,País Vasco,1566,27/7/2020
1785,La Rioja,366,27/7/2020
1786,Andalucía,1435,28/7/2020
1787,Aragón,915,28/7/2020
1788,Asturias,334,28/7/2020
1789,Baleares,224,28/7/2020
1790,Canarias,162,28/7/2020
1791,Cantabria,217,28/7/2020
1792,Castilla La Mancha,3032,28/7/2020
1793,Castilla y León,2797,28/7/2020
1794,Cataluña,5682,28/7/2020
1795,Ceuta,4,28/7/2020
1796,C. Valenciana,1434,28/7/2020
1797,Extremadura,519,28/7/2020
1798,Galicia,619,28/7/2020
1799,Madrid,8451,28/7/2020
1800,Melilla,2,28/7/2020
1801,Murcia,148,28/7/2020
1802,Navarra,529,28/7/2020
1803,País Vasco,1566,28/7/2020
1804,La Rioja,366,28/7/2020
1805,Andalucía,1435,29/7/2020
1806,Aragón,915,29/7/2020
1807,Asturias,334,29/7/2020
1808,Baleares,224,29/7/2020
1809,Canarias,162,29/7/2020
1810,Cantabria,217,29/7/2020
1811,Castilla La Mancha,3032,29/7/2020
1812,Castilla y León,2798,29/7/2020
1813,Cataluña,5685,29/7/2020
1814,Ceuta,4,29/7/2020
1815,C. Valenciana,1434,29/7/2020
1816,Extremadura,519,29/7/2020
1817,Galicia,619,29/7/2020
1818,Madrid,8452,29/7/2020
1819,Melilla,2,29/7/2020
1820,Murcia,148,29/7/2020
1821,Navarra,529,29/7/2020
1822,País Vasco,1566,29/7/2020
1823,La Rioja,366,29/7/2020
1824,Andalucía,1435,30/7/2020
1825,Aragón,915,30/7/2020
1826,Asturias,334,30/7/2020
1827,Baleares,224,30/7/2020
1828,Canarias,162,30/7/2020
1829,Cantabria,217,30/7/2020
1830,Castilla La Mancha,3032,30/7/2020
1831,Castilla y León,2798,30/7/2020
1832,Cataluña,5686,30/7/2020
1833,Ceuta,4,30/7/2020
1834,C. Valenciana,1435,30/7/2020
1835,Extremadura,520,30/7/2020
1836,Galicia,619,30/7/2020
1837,Madrid,8452,30/7/2020
1838,Melilla,2,30/7/2020
1839,Murcia,148,30/7/2020
1840,Navarra,529,30/7/2020
1841,País Vasco,1565,30/7/2020
1842,La Rioja,366,30/7/2020
1843,Andalucía,1435,31/7/2020
1844,Aragón,915,31/7/2020
1845,Asturias,334,31/7/2020
1846,Baleares,224,31/7/2020
1847,Canarias,162,31/7/2020
1848,Cantabria,217,31/7/2020
1849,Castilla La Mancha,3032,31/7/2020
1850,Castilla y León,2798,31/7/2020
1851,Cataluña,5686,31/7/2020
1852,Ceuta,4,31/7/2020
1853,C. Valenciana,1436,31/7/2020
1854,Extremadura,520,31/7/2020
1855,Galicia,619,31/7/2020
1856,Madrid,8453,31/7/2020
1857,Melilla,2,31/7/2020
1858,Murcia,148,31/7/2020
1859,Navarra,529,31/7/2020
1860,País Vasco,1565,31/7/2020
1861,La Rioja,366,31/7/2020
1862,Andalucía,1435,3/8/2020
1863,Aragón,937,3/8/2020
1864,Asturias,334,3/8/2020
1865,Baleares,224,3/8/2020
1866,Canarias,162,3/8/2020
1867,Cantabria,217,3/8/2020
1868,Castilla La Mancha,3034,3/8/2020
1869,Castilla y León,2799,3/8/2020
1870,Cataluña,5687,3/8/2020
1871,Ceuta,4,3/8/2020
1872,C. Valenciana,1437,3/8/2020
1873,Extremadura,520,3/8/2020
1874,Galicia,619,3/8/2020
1875,Madrid,8453,3/8/2020
1876,Melilla,2,3/8/2020
1877,Murcia,148,3/8/2020
1878,Navarra,529,3/8/2020
1879,País Vasco,1565,3/8/2020
1880,La Rioja,366,3/8/2020
1881,Andalucía,1437,4/8/2020
1882,Aragón,937,4/8/2020
1883,Asturias,334,4/8/2020
1884,Baleares,224,4/8/2020
1885,Canarias,162,4/8/2020
1886,Cantabria,217,4/8/2020
1887,Castilla La Mancha,3038,4/8/2020
1888,Castilla y León,2799,4/8/2020
1889,Cataluña,5703,4/8/2020
1890,Ceuta,4,4/8/2020
1891,C. Valenciana,1437,4/8/2020
1892,Extremadura,520,4/8/2020
1893,Galicia,619,4/8/2020
1894,Madrid,8457,4/8/2020
1895,Melilla,2,4/8/2020
1896,Murcia,148,4/8/2020
1897,Navarra,529,4/8/2020
1898,País Vasco,1565,4/8/2020
1899,La Rioja,366,4/8/2020
1900,Andalucía,1437,5/8/2020
1901,Aragón,937,5/8/2020
1902,Asturias,334,5/8/2020
1903,Baleares,224,5/8/2020
1904,Canarias,162,5/8/2020
1905,Cantabria,217,5/8/2020
1906,Castilla La Mancha,3038,5/8/2020
1907,Castilla y León,2800,5/8/2020
1908,Cataluña,5703,5/8/2020
1909,Ceuta,4,5/8/2020
1910,C. Valenciana,1437,5/8/2020
1911,Extremadura,520,5/8/2020
1912,Galicia,619,5/8/2020
1913,Madrid,8457,5/8/2020
1914,Melilla,2,5/8/2020
1915,Murcia,148,5/8/2020
1916,Navarra,529,5/8/2020
1917,País Vasco,1565,5/8/2020
1918,La Rioja,366,5/8/2020
1919,Andalucía,1438,6/8/2020
1920,Aragón,937,6/8/2020
1921,Asturias,334,6/8/2020
1922,Baleares,224,6/8/2020
1923,Canarias,162,6/8/2020
1924,Cantabria,217,6/8/2020
1925,Castilla La Mancha,3038,6/8/2020
1926,Castilla y León,2800,6/8/2020
1927,Cataluña,5703,6/8/2020
1928,Ceuta,4,6/8/2020
1929,C. Valenciana,1437,6/8/2020
1930,Extremadura,520,6/8/2020
1931,Galicia,619,6/8/2020
1932,Madrid,8457,6/8/2020
1933,Melilla,2,6/8/2020
1934,Murcia,148,6/8/2020
1935,Navarra,529,6/8/2020
1936,País Vasco,1565,6/8/2020
1937,La Rioja,366,6/8/2020
1938,Andalucía,1438,7/8/2020
1939,Aragón,937,7/8/2020
1940,Asturias,334,7/8/2020
1941,Baleares,224,7/8/2020
1942,Canarias,162,7/8/2020
1943,Cantabria,217,7/8/2020
1944,Castilla La Mancha,3038,7/8/2020
1945,Castilla y León,2800,7/8/2020
1946,Cataluña,5704,7/8/2020
1947,Ceuta,4,7/8/2020
1948,C. Valenciana,1437,7/8/2020
1949,Extremadura,521,7/8/2020
1950,Galicia,619,7/8/2020
1951,Madrid,8458,7/8/2020
1952,Melilla,2,7/8/2020
1953,Murcia,148,7/8/2020
1954,Navarra,529,7/8/2020
1955,País Vasco,1565,7/8/2020
1956,La Rioja,366,7/8/2020
1957,Andalucía,1443,10/8/2020
1958,Aragón,991,10/8/2020
1959,Asturias,334,10/8/2020
1960,Baleares,226,10/8/2020
1961,Canarias,164,10/8/2020
1962,Cantabria,217,10/8/2020
1963,Castilla La Mancha,3036,10/8/2020
1964,Castilla y León,2800,10/8/2020
1965,Cataluña,5706,10/8/2020
1966,Ceuta,4,10/8/2020
1967,C. Valenciana,1438,10/8/2020
1968,Extremadura,521,10/8/2020
1969,Galicia,621,10/8/2020
1970,Madrid,8464,10/8/2020
1971,Melilla,2,10/8/2020
1972,Murcia,148,10/8/2020
1973,Navarra,530,10/8/2020
1974,País Vasco,1565,10/8/2020
1975,La Rioja,366,10/8/2020
1976,Andalucía,1443,11/8/2020
1977,Aragón,991,11/8/2020
1978,Asturias,334,11/8/2020
1979,Baleares,225,11/8/2020
1980,Canarias,164,11/8/2020
1981,Cantabria,219,11/8/2020
1982,Castilla La Mancha,3035,11/8/2020
1983,Castilla y León,2802,11/8/2020
1984,Cataluña,5706,11/8/2020
1985,Ceuta,4,11/8/2020
1986,C. Valenciana,1439,11/8/2020
1987,Extremadura,521,11/8/2020
1988,Galicia,622,11/8/2020
1989,Madrid,8464,11/8/2020
1990,Melilla,2,11/8/2020
1991,Murcia,148,11/8/2020
1992,Navarra,531,11/8/2020
1993,País Vasco,1565,11/8/2020
1994,La Rioja,366,11/8/2020
1995,Andalucía,1443,12/8/2020
1996,Aragón,991,12/8/2020
1997,Asturias,334,12/8/2020
1998,Baleares,225,12/8/2020
1999,Canarias,164,12/8/2020
2000,Cantabria,220,12/8/2020
2001,Castilla La Mancha,3037,12/8/2020
2002,Castilla y León,2804,12/8/2020
2003,Cataluña,5706,12/8/2020
2004,Ceuta,4,12/8/2020
2005,C. Valenciana,1442,12/8/2020
2006,Extremadura,522,12/8/2020
2007,Galicia,622,12/8/2020
2008,Madrid,8464,12/8/2020
2009,Melilla,2,12/8/2020
2010,Murcia,149,12/8/2020
2011,Navarra,531,12/8/2020
2012,País Vasco,1553,12/8/2020
2013,La Rioja,366,12/8/2020
2014,Andalucía,1445,13/8/2020
2015,Aragón,992,13/8/2020
2016,Asturias,334,13/8/2020
2017,Baleares,225,13/8/2020
2018,Canarias,164,13/8/2020
2019,Cantabria,220,13/8/2020
2020,Castilla La Mancha,3037,13/8/2020
2021,Castilla y León,2804,13/8/2020
2022,Cataluña,5709,13/8/2020
2023,Ceuta,4,13/8/2020
2024,C. Valenciana,1442,13/8/2020
2025,Extremadura,522,13/8/2020
2026,Galicia,622,13/8/2020
2027,Madrid,8471,13/8/2020
2028,Melilla,2,13/8/2020
2029,Murcia,149,13/8/2020
2030,Navarra,531,13/8/2020
2031,País Vasco,1566,13/8/2020
2032,La Rioja,366,13/8/2020
2033,Andalucía,1445,14/8/2020
2034,Aragón,992,14/8/2020
2035,Asturias,334,14/8/2020
2036,Baleares,225,14/8/2020
2037,Canarias,164,14/8/2020
2038,Cantabria,220,14/8/2020
2039,Castilla La Mancha,3037,14/8/2020
2040,Castilla y León,2804,14/8/2020
2041,Cataluña,5709,14/8/2020
2042,Ceuta,4,14/8/2020
2043,C. Valenciana,1442,14/8/2020
2044,Extremadura,522,14/8/2020
2045,Galicia,623,14/8/2020
2046,Madrid,8481,14/8/2020
2047,Melilla,2,14/8/2020
2048,Murcia,149,14/8/2020
2049,Navarra,532,14/8/2020
2050,País Vasco,1566,14/8/2020
2051,La Rioja,366,14/8/2020
2052,Andalucía,1452,17/8/2020
2053,Aragón,993,17/8/2020
2054,Asturias,334,17/8/2020
2055,Baleares,225,17/8/2020
2056,Canarias,166,17/8/2020
2057,Cantabria,220,17/8/2020
2058,Castilla La Mancha,3038,17/8/2020
2059,Castilla y León,2808,17/8/2020
2060,Cataluña,5710,17/8/2020
2061,Ceuta,4,17/8/2020
2062,C. Valenciana,1443,17/8/2020
2063,Extremadura,523,17/8/2020
2064,Galicia,625,17/8/2020
2065,Madrid,8488,17/8/2020
2066,Melilla,2,17/8/2020
2067,Murcia,151,17/8/2020
2068,Navarra,532,17/8/2020
2069,País Vasco,1566,17/8/2020
2070,La Rioja,366,17/8/2020
2071,Andalucía,1455,18/8/2020
2072,Aragón,994,18/8/2020
2073,Asturias,334,18/8/2020
2074,Baleares,226,18/8/2020
2075,Canarias,166,18/8/2020
2076,Cantabria,220,18/8/2020
2077,Castilla La Mancha,3038,18/8/2020
2078,Castilla y León,2808,18/8/2020
2079,Cataluña,5712,18/8/2020
2080,Ceuta,4,18/8/2020
2081,C. Valenciana,1444,18/8/2020
2082,Extremadura,523,18/8/2020
2083,Galicia,625,18/8/2020
2084,Madrid,8503,18/8/2020
2085,Melilla,2,18/8/2020
2086,Murcia,151,18/8/2020
2087,Navarra,532,18/8/2020
2088,País Vasco,1566,18/8/2020
2089,La Rioja,367,18/8/2020
2090,Andalucía,1456,19/8/2020
2091,Aragón,1094,19/8/2020
2092,Asturias,334,19/8/2020
2093,Baleares,227,19/8/2020
2094,Canarias,166,19/8/2020
2095,Cantabria,220,19/8/2020
2096,Castilla La Mancha,3038,19/8/2020
2097,Castilla y León,2808,19/8/2020
2098,Cataluña,5718,19/8/2020
2099,Ceuta,4,19/8/2020
2100,C. Valenciana,1447,19/8/2020
2101,Extremadura,523,19/8/2020
2102,Galicia,625,19/8/2020
2103,Madrid,8518,19/8/2020
2104,Melilla,2,19/8/2020
2105,Murcia,152,19/8/2020
2106,Navarra,532,19/8/2020
2107,País Vasco,1566,19/8/2020
2108,La Rioja,367,19/8/2020
2109,Andalucía,1456,20/8/2020
2110,Aragón,1096,20/8/2020
2111,Asturias,334,20/8/2020
2112,Baleares,227,20/8/2020
2113,Canarias,166,20/8/2020
2114,Cantabria,221,20/8/2020
2115,Castilla La Mancha,3038,20/8/2020
2116,Castilla y León,2810,20/8/2020
2117,Cataluña,5722,20/8/2020
2118,Ceuta,4,20/8/2020
2119,C. Valenciana,1446,20/8/2020
2120,Extremadura,523,20/8/2020
2121,Galicia,625,20/8/2020
2122,Madrid,8526,20/8/2020
2123,Melilla,2,20/8/2020
2124,Murcia,152,20/8/2020
2125,Navarra,532,20/8/2020
2126,País Vasco,1566,20/8/2020
2127,La Rioja,367,20/8/2020
2128,Andalucía,1460,21/8/2020
2129,Aragón,1096,21/8/2020
2130,Asturias,334,21/8/2020
2131,Baleares,228,21/8/2020
2132,Canarias,167,21/8/2020
2133,Cantabria,221,21/8/2020
2134,Castilla La Mancha,3038,21/8/2020
2135,Castilla y León,2810,21/8/2020
2136,Cataluña,5724,21/8/2020
2137,Ceuta,4,21/8/2020
2138,C. Valenciana,1449,21/8/2020
2139,Extremadura,524,21/8/2020
2140,Galicia,626,21/8/2020
2141,Madrid,8537,21/8/2020
2142,Melilla,2,21/8/2020
2143,Murcia,152,21/8/2020
2144,Navarra,532,21/8/2020
2145,País Vasco,1567,21/8/2020
2146,La Rioja,367,21/8/2020
2147,Andalucía,1466,24/8/2020
2148,Aragón,1096,24/8/2020
2149,Asturias,335,24/8/2020
2150,Baleares,228,24/8/2020
2151,Canarias,167,24/8/2020
2152,Cantabria,221,24/8/2020
2153,Castilla La Mancha,3039,24/8/2020
2154,Castilla y León,2812,24/8/2020
2155,Cataluña,5725,24/8/2020
2156,Ceuta,4,24/8/2020
2157,C. Valenciana,1452,24/8/2020
2158,Extremadura,526,24/8/2020
2159,Galicia,632,24/8/2020
2160,Madrid,8546,24/8/2020
2161,Melilla,2,24/8/2020
2162,Murcia,153,24/8/2020
2163,Navarra,533,24/8/2020
2164,País Vasco,1567,24/8/2020
2165,La Rioja,368,24/8/2020
2166,Andalucía,1471,25/8/2020
2167,Aragón,1096,25/8/2020
2168,Asturias,335,25/8/2020
2169,Baleares,229,25/8/2020
2170,Canarias,168,25/8/2020
2171,Cantabria,221,25/8/2020
2172,Castilla La Mancha,3040,25/8/2020
2173,Castilla y León,2815,25/8/2020
2174,Cataluña,5727,25/8/2020
2175,Ceuta,4,25/8/2020
2176,C. Valenciana,1454,25/8/2020
2177,Extremadura,526,25/8/2020
2178,Galicia,632,25/8/2020
2179,Madrid,8580,25/8/2020
2180,Melilla,2,25/8/2020
2181,Murcia,154,25/8/2020
2182,Navarra,533,25/8/2020
2183,País Vasco,1568,25/8/2020
2184,La Rioja,369,25/8/2020
2185,Andalucía,1475,26/8/2020
2186,Aragón,1096,26/8/2020
2187,Asturias,335,26/8/2020
2188,Baleares,231,26/8/2020
2189,Canarias,169,26/8/2020
2190,Cantabria,221,26/8/2020
2191,Castilla La Mancha,3041,26/8/2020
2192,Castilla y León,2817,26/8/2020
2193,Cataluña,5740,26/8/2020
2194,Ceuta,4,26/8/2020
2195,C. Valenciana,1454,26/8/2020
2196,Extremadura,526,26/8/2020
2197,Galicia,633,26/8/2020
2198,Madrid,8592,26/8/2020
2199,Melilla,2,26/8/2020
2200,Murcia,155,26/8/2020
2201,Navarra,533,26/8/2020
2202,País Vasco,1578,26/8/2020
2203,La Rioja,369,26/8/2020
2204,Andalucía,1476,27/8/2020
2205,Aragón,1096,27/8/2020
2206,Asturias,335,27/8/2020
2207,Baleares,231,27/8/2020
2208,Canarias,171,27/8/2020
2209,Cantabria,221,27/8/2020
2210,Castilla La Mancha,3041,27/8/2020
2211,Castilla y León,2821,27/8/2020
2212,Cataluña,5741,27/8/2020
2213,Ceuta,4,27/8/2020
2214,C. Valenciana,1461,27/8/2020
2215,Extremadura,526,27/8/2020
2216,Galicia,634,27/8/2020
2217,Madrid,8600,27/8/2020
2218,Melilla,2,27/8/2020
2219,Murcia,155,27/8/2020
2220,Navarra,533,27/8/2020
2221,País Vasco,1579,27/8/2020
2222,La Rioja,369,27/8/2020
2223,Andalucía,1480,28/8/2020
2224,Aragón,1096,28/8/2020
2225,Asturias,335,28/8/2020
2226,Baleares,233,28/8/2020
2227,Canarias,172,28/8/2020
2228,Cantabria,221,28/8/2020
2229,Castilla La Mancha,3042,28/8/2020
2230,Castilla y León,2822,28/8/2020
2231,Cataluña,5741,28/8/2020
2232,Ceuta,4,28/8/2020
2233,C. Valenciana,1462,28/8/2020
2234,Extremadura,526,28/8/2020
2235,Galicia,634,28/8/2020
2236,Madrid,8604,28/8/2020
2237,Melilla,2,28/8/2020
2238,Murcia,156,28/8/2020
2239,Navarra,533,28/8/2020
2240,País Vasco,1579,28/8/2020
2241,La Rioja,369,28/8/2020
2242,Andalucía,1493,31/8/2020
2243,Aragón,1096,31/8/2020
2244,Asturias,335,31/8/2020
2245,Baleares,234,31/8/2020
2246,Canarias,174,31/8/2020
2247,Cantabria,221,31/8/2020
2248,Castilla La Mancha,3043,31/8/2020
2249,Castilla y León,2830,31/8/2020
2250,Cataluña,5741,31/8/2020
2251,Ceuta,5,31/8/2020
2252,C. Valenciana,1465,31/8/2020
2253,Extremadura,527,31/8/2020
2254,Galicia,641,31/8/2020
2255,Madrid,8648,31/8/2020
2256,Melilla,2,31/8/2020
2257,Murcia,156,31/8/2020
2258,Navarra,534,31/8/2020
2259,País Vasco,1579,31/8/2020
2260,La Rioja,370,31/8/2020
2261,Andalucía,1500,1/9/2020
2262,Aragón,1096,1/9/2020
2263,Asturias,335,1/9/2020
2264,Baleares,238,1/9/2020
2265,Canarias,174,1/9/2020
2266,Cantabria,221,1/9/2020
2267,Castilla La Mancha,3043,1/9/2020
2268,Castilla y León,2841,1/9/2020
2269,Cataluña,5749,1/9/2020
2270,Ceuta,5,1/9/2020
2271,C. Valenciana,1473,1/9/2020
2272,Extremadura,527,1/9/2020
2273,Galicia,644,1/9/2020
2274,Madrid,8662,1/9/2020
2275,Melilla,2,1/9/2020
2276,Murcia,156,1/9/2020
2277,Navarra,535,1/9/2020
2278,País Vasco,1579,1/9/2020
2279,La Rioja,372,1/9/2020
2280,Andalucía,1506,2/9/2020
2281,Aragón,1096,2/9/2020
2282,Asturias,335,2/9/2020
2283,Baleares,238,2/9/2020
2284,Canarias,175,2/9/2020
2285,Cantabria,224,2/9/2020
2286,Castilla La Mancha,3046,2/9/2020
2287,Castilla y León,2842,2/9/2020
2288,Cataluña,5757,2/9/2020
2289,Ceuta,5,2/9/2020
2290,C. Valenciana,1473,2/9/2020
2291,Extremadura,529,2/9/2020
2292,Galicia,645,2/9/2020
2293,Madrid,8676,2/9/2020
2294,Melilla,2,2/9/2020
2295,Murcia,157,2/9/2020
2296,Navarra,536,2/9/2020
2297,País Vasco,1579,2/9/2020
2298,La Rioja,373,2/9/2020
2299,Andalucía,1509,3/9/2020
2300,Aragón,1096,3/9/2020
2301,Asturias,335,3/9/2020
2302,Baleares,242,3/9/2020
2303,Canarias,178,3/9/2020
2304,Cantabria,224,3/9/2020
2305,Castilla La Mancha,3048,3/9/2020
2306,Castilla y León,2846,3/9/2020
2307,Cataluña,5758,3/9/2020
2308,Ceuta,5,3/9/2020
2309,C. Valenciana,1475,3/9/2020
2310,Extremadura,529,3/9/2020
2311,Galicia,649,3/9/2020
2312,Madrid,8692,3/9/2020
2313,Melilla,2,3/9/2020
2314,Murcia,157,3/9/2020
2315,Navarra,536,3/9/2020
2316,País Vasco,1580,3/9/2020
2317,La Rioja,373,3/9/2020
2318,Andalucía,1516,4/9/2020
2319,Aragón,1212,4/9/2020
2320,Asturias,335,4/9/2020
2321,Baleares,243,4/9/2020
2322,Canarias,179,4/9/2020
2323,Cantabria,225,4/9/2020
2324,Castilla La Mancha,3048,4/9/2020
2325,Castilla y León,2856,4/9/2020
2326,Cataluña,5761,4/9/2020
2327,Ceuta,5,4/9/2020
2328,C. Valenciana,1478,4/9/2020
2329,Extremadura,530,4/9/2020
