"","Fecha","Provincia","Isla","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"313","06/05/2020","Santa Cruz de Tenerife","La Palma",5,0,0
"314","06/05/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"315","06/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"316","06/06/2020","Santa Cruz de Tenerife","Tenerife",26,2,0
"317","06/06/2020","Las Palmas","Gran Canaria",3,1,0
"318","06/06/2020","Las Palmas","Fuerteventura",0,0,0
"319","06/06/2020","Las Palmas","Lanzarote",2,0,0
"320","06/06/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"321","06/06/2020","Santa Cruz de Tenerife","El Hierro",2,0,0
"322","06/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"323","06/07/2020","Santa Cruz de Tenerife","Tenerife",14,1,0
"324","06/07/2020","Las Palmas","Gran Canaria",0,1,0
"325","06/07/2020","Las Palmas","Fuerteventura",0,0,0
"326","06/07/2020","Las Palmas","Lanzarote",0,0,0
"327","06/07/2020","Santa Cruz de Tenerife","La Palma",2,0,0
"328","06/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"329","06/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"330","06/08/2020","Santa Cruz de Tenerife","Tenerife",24,2,0
"331","06/08/2020","Las Palmas","Gran Canaria",6,0,0
"332","06/08/2020","Las Palmas","Fuerteventura",0,0,0
"333","06/08/2020","Las Palmas","Lanzarote",0,0,0
"334","06/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"335","06/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"336","06/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"337","06/09/2020","Santa Cruz de Tenerife","Tenerife",37,13,0
"338","06/09/2020","Las Palmas","Gran Canaria",146,31,0
"339","06/09/2020","Las Palmas","Fuerteventura",5,2,0
"340","06/09/2020","Las Palmas","Lanzarote",16,1,0
"341","06/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
