fecha,provincia,total_dosis_administradas,personas_con_2_dosis
25/03/2021,Jaén,116253,41982
25/03/2021,Málaga,234187,85977
25/03/2021,Sevilla,300367,110775
26/03/2021,Almería,110547,38093
26/03/2021,Cádiz,183860,67850
26/03/2021,Córdoba,159349,60025
26/03/2021,Granada,164879,61717
26/03/2021,Huelva,85617,29190
26/03/2021,Jaén,119827,43409
26/03/2021,Málaga,240418,88153
26/03/2021,Sevilla,306930,112917
27/03/2021,Almería,111947,38595
27/03/2021,Cádiz,184974,68282
27/03/2021,Córdoba,161131,60025
27/03/2021,Granada,164915,61719
27/03/2021,Huelva,86849,29211
27/03/2021,Jaén,119925,43438
27/03/2021,Málaga,240769,88288
27/03/2021,Sevilla,306966,112932
28/03/2021,Almería,112412,38595
28/03/2021,Cádiz,185480,68288
28/03/2021,Córdoba,161307,60026
28/03/2021,Granada,164916,61719
28/03/2021,Huelva,86903,29211
28/03/2021,Jaén,119939,43438
28/03/2021,Málaga,240782,88294
28/03/2021,Sevilla,307004,112965
29/03/2021,Almería,114249,39011
29/03/2021,Cádiz,190001,68921
29/03/2021,Córdoba,163165,60086
29/03/2021,Granada,169464,61895
29/03/2021,Huelva,87302,29220
29/03/2021,Jaén,121275,43565
29/03/2021,Málaga,245430,89145
29/03/2021,Sevilla,313401,113348
30/03/2021,Almería,117022,39220
30/03/2021,Cádiz,195980,69206
30/03/2021,Córdoba,167838,61028
30/03/2021,Granada,174765,62049
30/03/2021,Huelva,91272,29319
30/03/2021,Jaén,124752,43778
30/03/2021,Málaga,252326,89657
30/03/2021,Sevilla,321774,113990
02/04/2021,Almería,120760,39716
02/04/2021,Cádiz,205960,69403
02/04/2021,Córdoba,176104,65560
02/04/2021,Granada,180674,62368
02/04/2021,Huelva,97820,32494
02/04/2021,Jaén,133325,47838
02/04/2021,Málaga,261127,90455
02/04/2021,Sevilla,332263,115005
04/04/2021,Almería,122704,39779
04/04/2021,Cádiz,207578,69411
04/04/2021,Córdoba,181647,65560
04/04/2021,Granada,180760,62372
04/04/2021,Huelva,97820,32494
04/04/2021,Jaén,133957,47844
04/04/2021,Málaga,261999,90462
04/04/2021,Sevilla,334952,115017
05/04/2021,Almería,126113,40101
05/04/2021,Cádiz,214880,69701
05/04/2021,Córdoba,183670,65672
05/04/2021,Granada,186020,62682
05/04/2021,Huelva,100343,32576
05/04/2021,Jaén,135550,48061
05/04/2021,Málaga,271575,91129
05/04/2021,Sevilla,344176,116187
06/04/2021,Almería,130140,40680
06/04/2021,Cádiz,225001,69932
06/04/2021,Córdoba,189093,65975
06/04/2021,Granada,194719,63021
06/04/2021,Huelva,104687,32834
06/04/2021,Jaén,140010,48344
06/04/2021,Málaga,285059,91698
06/04/2021,Sevilla,358399,117077
07/04/2021,Almería,134652,40873
07/04/2021,Cádiz,236630,70182
07/04/2021,Córdoba,196544,66385
07/04/2021,Granada,205478,63430
07/04/2021,Huelva,109523,32934
07/04/2021,Jaén,145954,48477
07/04/2021,Málaga,299891,92475
07/04/2021,Sevilla,376052,117674
08/04/2021,Almería,139865,41155
08/04/2021,Cádiz,247380,70654
08/04/2021,Córdoba,203385,66931
08/04/2021,Granada,217023,64149
08/04/2021,Huelva,115371,33900
08/04/2021,Jaén,152189,48833
08/04/2021,Málaga,313392,93035
08/04/2021,Sevilla,393739,118248
09/04/2021,Almería,144462,41559
09/04/2021,Cádiz,257284,71660
09/04/2021,Córdoba,209420,67343
09/04/2021,Granada,226239,64415
09/04/2021,Huelva,119861,34128
09/04/2021,Jaén,159816,49274
09/04/2021,Málaga,327726,93820
09/04/2021,Sevilla,407717,118899
11/04/2021,Almería,145836,41590
11/04/2021,Cádiz,261177,71662
11/04/2021,Córdoba,214360,67346
11/04/2021,Granada,226824,64434
11/04/2021,Huelva,119894,34128
11/04/2021,Jaén,160954,49277
11/04/2021,Málaga,333231,93834
11/04/2021,Sevilla,408901,118900
12/04/2021,Almería,149795,41644
12/04/2021,Cádiz,267842,71805
12/04/2021,Córdoba,217767,67787
12/04/2021,Granada,230585,65185
12/04/2021,Huelva,122157,34271
12/04/2021,Jaén,164818,49661
