,Comunidad,Fecha,Fallecidos
377,Navarra,2020-05-05,471
378,Pais Vasco,2020-05-05,1353
379,La Rioja,2020-05-05,336
380,Andalucia,2020-05-06,1281
381,Aragon,2020-05-06,788
382,Asturias,2020-05-06,287
383,Baleares,2020-05-06,199
384,Canarias,2020-05-06,143
385,Cantabria,2020-05-06,199
386,Castilla La Mancha,2020-05-06,2647
387,Castilla y Leon,2020-05-06,1847
388,Cataluña,2020-05-06,5345
389,Ceuta,2020-05-06,4
390,C.Valenciana,2020-05-06,1291
391,Extremadura,2020-05-06,463
392,Galicia,2020-05-06,582
393,Madrid,2020-05-06,8466
394,Melilla,2020-05-06,2
395,Murcia,2020-05-06,136
396,Navarra,2020-05-06,476
397,Pais Vasco,2020-05-06,1364
398,La Rioja,2020-05-06,337
399,Andalucia,2020-05-07,1294
400,Aragon,2020-05-07,800
401,Asturias,2020-05-07,292
402,Baleares,2020-05-07,201
403,Canarias,2020-05-07,144
404,Cantabria,2020-05-07,200
405,Castilla La Mancha,2020-05-07,2677
406,Castilla y Leon,2020-05-07,1864
407,Cataluña,2020-05-07,5394
408,Ceuta,2020-05-07,4
409,C.Valenciana,2020-05-07,1303
410,Extremadura,2020-05-07,467
411,Galicia,2020-05-07,586
412,Madrid,2020-05-07,8504
413,Melilla,2020-05-07,2
414,Murcia,2020-05-07,137
415,Navarra,2020-05-07,480
416,Pais Vasco,2020-05-07,1383
417,La Rioja,2020-05-07,338
418,Andalucia,2020-05-08,1301
419,Aragon,2020-05-08,815
420,Asturias,2020-05-08,292
421,Baleares,2020-05-08,202
422,Canarias,2020-05-08,148
423,Cantabria,2020-05-08,201
424,Castilla La Mancha,2020-05-08,2713
425,Castilla y Leon,2020-05-08,1876
426,Cataluña,2020-05-08,5471
427,Ceuta,2020-05-08,4
428,C.Valenciana,2020-05-08,1309
429,Extremadura,2020-05-08,472
430,Galicia,2020-05-08,588
431,Madrid,2020-05-08,8552
432,Melilla,2020-05-08,2
433,Murcia,2020-05-08,137
434,Navarra,2020-05-08,484
435,Pais Vasco,2020-05-08,1390
