Fecha report,provincia,Hospitalizados,UCI
11/06/2020,Jaén,1,1
11/06/2020,Málaga,17,3
11/06/2020,Sevilla,9,3
12/06/2020,Almería,6,0
12/06/2020,Cádiz,7,4
12/06/2020,Córdoba,4,1
12/06/2020,Granada,10,4
12/06/2020,Huelva,1,1
12/06/2020,Jaén,1,1
12/06/2020,Málaga,15,3
12/06/2020,Sevilla,9,3
13/06/2020,Almería,4,0
13/06/2020,Cádiz,7,4
13/06/2020,Córdoba,5,1
13/06/2020,Granada,10,3
13/06/2020,Huelva,1,1
13/06/2020,Jaén,1,1
13/06/2020,Málaga,12,2
13/06/2020,Sevilla,7,2
14/06/2020,Almería,4,0
14/06/2020,Cádiz,7,4
14/06/2020,Córdoba,5,1
14/06/2020,Granada,10,3
14/06/2020,Huelva,1,1
14/06/2020,Jaén,1,1
14/06/2020,Málaga,12,2
14/06/2020,Sevilla,7,2
15/06/2020,Almería,4,0
15/06/2020,Cádiz,7,4
15/06/2020,Córdoba,5,1
15/06/2020,Granada,10,3
15/06/2020,Huelva,1,1
15/06/2020,Jaén,1,1
15/06/2020,Málaga,12,2
15/06/2020,Sevilla,7,2
16/06/2020,Almería,4,0
16/06/2020,Cádiz,7,4
16/06/2020,Córdoba,5,1
16/06/2020,Granada,10,3
16/06/2020,Huelva,1,1
16/06/2020,Jaén,1,1
16/06/2020,Málaga,12,2
16/06/2020,Sevilla,8,2
17/06/2020,Almería,4,0
17/06/2020,Cádiz,9,4
17/06/2020,Córdoba,5,1
17/06/2020,Granada,10,3
17/06/2020,Huelva,1,1
17/06/2020,Jaén,1,1
17/06/2020,Málaga,11,2
17/06/2020,Sevilla,8,2
18/06/2020,Almería,4,0
18/06/2020,Cádiz,8,3
18/06/2020,Córdoba,4,1
18/06/2020,Granada,9,3
18/06/2020,Huelva,1,1
18/06/2020,Jaén,1,1
18/06/2020,Málaga,9,1
18/06/2020,Sevilla,6,1
19/06/2020,Almería,3,0
19/06/2020,Cádiz,10,3
19/06/2020,Córdoba,5,1
19/06/2020,Granada,8,3
19/06/2020,Huelva,1,1
19/06/2020,Jaén,1,1
19/06/2020,Málaga,10,1
19/06/2020,Sevilla,6,1
20/06/2020,Almería,4,0
20/06/2020,Cádiz,9,2
20/06/2020,Córdoba,5,1
20/06/2020,Granada,8,3
20/06/2020,Huelva,1,1
20/06/2020,Jaén,1,1
20/06/2020,Málaga,11,1
20/06/2020,Sevilla,6,1
21/06/2020,Almería,4,0
21/06/2020,Cádiz,7,1
